id_speech,extract_id,cluster,indicator_name,code,option,textual_extract,coder_notes,human_validation_A,human_validation_A_comments,link,decision,Date
M_2,M_2_gender_equality_position,Gender and women's leadership,gender_equality_position,0,No Mention,,,Positive / Supportive,"Change option to positive / supportive: The speech mentions that access to electricty and internet generates healthier childre, more resilent communities and greater opportunities for women and girls. So it should be agree. Also, it says ""Hateful narratives are spreading like wildfire across borders and into homes at unprecedented speed and scale. They target women and girls, minorities, migrants, refugees and persons with disabilities, often for political gain.""  This means that hate discourse poses a threat to women. So, again I would target this as gender equality positive, as it wants to generate a better situation for women.",https://github.com/sociopublico/gwl-bot/blob/main/pipeline/out/81/2026-09-22/M_2.txt,Positive / Supportive,2026-09-22
M_4,M_4_gender_equality_position,Gender and women's leadership,gender_equality_position,1,Positive / Supportive,"(1) ""LED by Ambassador Michael Waltz here at the United Nations, we have also worked with many countries in this room to implement the most sweeping U.N. reforms in history."" (2) ""She also became the only first lady in history to preside over a meeting of the U.N. Security Council. And she did it very well."" (3) ""It is equally unacceptable that with all the genuine atrocities in the world the UN's top human rights officials spend their time criticizing the United States for protecting our children from transgender utilization and transgender insanity...""",Coded based on the anti-transgender-rights passage (opposition framing re: 'transgender mutilation/insanity') which constitutes a negative position on gender-related rights discourse at the UN; this is inferential since it is expressed as opposition to UN human rights criticism rather than a direct statement on 'gender equality.' See extract (3).,Mixed / Ambiguous,"Change option to mixed: The first quote makes no sense, take it out. The second quote mentions his wife, but only her. And the third one speaks about tansgenders in a negative way. This cannot be possitive, it is mixed. Mainly because he only talks about his wife, not about women in general.",https://github.com/sociopublico/gwl-bot/blob/main/pipeline/out/81/2026-09-22/M_4.txt,Mixed / Ambiguous,2026-09-22
M_4,M_4_women_leadership_position,Gender and women's leadership,women_leadership_position,0,No Mention,,,Mixed / Ambiguous,"Change option to mixed: Every time there is a mention in women_multilateral_leadership, it should be also marked women_leadership. Because women_leadership is a bigger category that includes women_multilateral_leadership.",https://github.com/sociopublico/gwl-bot/blob/main/pipeline/out/81/2026-09-22/M_4.txt,Mixed / Ambiguous,2026-09-22
M_6,M_6_sg_selection_position,SG election,sg_selection_position,1,Positive / Supportive,"(1) ""I extend my congratulations and gratitude to my dear friend, H.E. Mr. Guterres, who has served as Secretary-General of the United Nations for nearly 10 years with impartiality and, above all, with courage."" (2) ""We support the sincere efforts of the Secretary-General in this direction, including the UN80 Initiative. We expect this commitment for reform to be maintained during the tenure of the next Secretary-General.""","Coded Positive based on supportive framing regarding continuity of reform commitment expected of 'the next Secretary-General,' implying support for the process/succession; note congratulations to Baerbock (PGA) are correctly excluded per Rule F.",Change extracts,"I agree with the option but change extracts: I would delete the first extract, because it does not talk about the election.",https://github.com/sociopublico/gwl-bot/blob/main/pipeline/out/81/2026-09-22/M_6.txt,Positive / Supportive,2026-09-22
M_12,M_12_future_multilateralism_position,Multilateralism,future_multilateralism_position,6,Transformation,"(1) ""I wish to reassert our commitment to take action hand in hand with each and every one of you, so as to revive multilateralism and to demonstrate that we are stronger, more effective, more capable of tackling common challenges if we do this together."" (2) ""We must reform the Security Council, not as a symbolic gesture, but as a vital prerequisite to ensure that the council's decisions are once again respected and upheld."" (3) ""We need proactive multilateralism."" (4) ""We must go back to the very spirit of this organization, which is multilateralism, the defense of common interests, of justice for all.""",,Change extracts,"I agree with the option but change extracts: the second extract does not exist. Take it out, and review why did you add it.",https://github.com/sociopublico/gwl-bot/blob/main/pipeline/out/81/2026-09-22/M_12.txt,Transformation,2026-09-22
M_21,M_21_un_reform_position,UN reform,un_reform_position,0,No Mention,,"Speech calls for stronger, fairer, more effective UN/multilateral system and financial architecture reform, but does not propose specific institutional reform of UN bodies/procedures/veto; coded No Mention per Rule 6.J. current_multilateralism captures the systemic critique instead.",Positive / Supportive,"Change option to positive / supportive:  and add this quote: ""this Organization stands at a crossroads. The question before us, therefore, is whether we possess the courage, solidarity and political will to shape that change and guide our world towards peace, justice and shared prosperity.""
",https://github.com/sociopublico/gwl-bot/blob/main/pipeline/out/81/2026-09-22/M_21.txt,Positive / Supportive,2026-09-22
M_29,M_29_sg_selection_position,SG election,sg_selection_position,1,Positive / Supportive,"(1) ""Let us move forward, building on the achievements of the current Secretary-General António Guterres.""",Weak/indirect reference to SG; not about selection process itself but praises current SG in reform context. Flagged as borderline.,No Mention,Change option to no mention: because they are not talking about the election,https://github.com/sociopublico/gwl-bot/blob/main/pipeline/out/81/2026-09-22/M_29.txt,No Mention,2026-09-22
M_30,M_30_un_reform_position,UN reform,un_reform_position,0,No Mention,,"No institutional reform proposal for the UN itself is made; speech calls to 'renew the UN for our times' in general terms without specifying institutional changes, so coded No Mention per Rule 6.J.",Positive / Supportive,"Change option to positive / supportive: and add this quote: (2) ""That is the level of ambition that we need now to renew the UN for our times, to tackle challenges like improving global health and preventing future pandemics, to end the wars that are causing so much suffering and instability... and to tackle climate change.""",https://github.com/sociopublico/gwl-bot/blob/main/pipeline/out/81/2026-09-22/M_30.txt,Positive / Supportive,2026-09-22
M_40,M_40_sg_selection_position_gender,SG election,sg_selection_position_gender,1,Positive / Supportive,(1) We expect her or him to carry forward the UN80 agenda and turn reforms into results.,"Gender-neutral 'her or him' phrasing treated as mild positive/inclusive framing of a possible female SG, not a strong endorsement.",Mixed / Ambiguous,Change it to mixed/Ambiguous: because it does not explicity propose a woman as a Secretary General.,,Mixed / Ambiguous,2026-09-23
M_41,M_41_current_multilateralism_position,Multilateralism,current_multilateralism_position,3,Negative / Pushback,"(1) it is time to acknowledge that, in practice, that sacred covenant has been broken. That's to say it's become a useless organisation whose only purpose is to sustain a caste of fatally arrogant parasites masquerading as well-intentioned bureaucrats. (2) an institution that cannot ensure that its words carry weight in the real world loses the most important thing of all, its authority. (3) alongside that failure, they have built a bureaucratic leviathan devoted to deciding how the peoples of the world and their citizens should live. (4) the arrival of artificial intelligence demonstrates quite something else... the psychological terror instilled by the state.",,Change extracts,"Extract (4) is incorrect, as it combines two different concepts: AI and the speaker's negative view of the Government.i In the speech, these two concepts were not mixed like that. There are lots of lines of text in between the ""..."" ",https://github.com/sociopublico/gwl-bot/blob/main/pipeline/out/81/2026-09-23/M_41.txt,Negative / Pushback,2026-09-23
