country,iso_country,region,sub_region,security_council,g20_member,other_relevant_countries _gwl
Afghanistan,AFG,Asia,Southern Asia,Not member,Not member,-
Åland Islands,ALA,Europe,Northern Europe,Not member,Not member,-
Albania,ALB,Europe,Southern Europe,Not member,Not member,-
Algeria,DZA,Africa,Northern Africa,Not member,Not member,-
American Samoa,ASM,Oceania,Polynesia,Not member,Not member,-
Andorra,AND,Europe,Southern Europe,Not member,Not member,-
Angola,AGO,Africa,Middle Africa,Not member,Not member,-
Anguilla,AIA,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Antarctica,ATA,Latin America and the Caribbean,Northern America,Not member,Not member,-
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Argentina,ARG,Latin America and the Caribbean,South America,Not member,Member,-
Armenia,ARM,Asia,Western Asia,Not member,Not member,-
Aruba,ABW,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Australia,AUS,Oceania,Australia and New Zealand,Not member,Not member,-
Austria,AUT,Europe,Western Europe,Not member,Member,-
Azerbaijan,AZE,Asia,Western Asia,Not member,Not member,-
Bahamas,BHS,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Bahrain,BHR,Asia,Western Asia,Non-permanent member,Not member,-
Bangladesh,BGD,Asia,Southern Asia,Not member,Not member,-
Barbados,BRB,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Belarus,BLR,Europe,Eastern Europe,Not member,Not member,-
Belgium,BEL,Europe,Western Europe,Not member,Not member,-
Belize,BLZ,Latin America and the Caribbean,Central America,Not member,Not member,-
Benin,BEN,Africa,Southern Africa,Not member,Not member,-
Bermuda,BMU,Latin America and the Caribbean,Northern America,Not member,Not member,-
Bhutan,BTN,Asia,Southern Asia,Not member,Not member,-
Bolivia (Plurinational State of),BOL,Latin America and the Caribbean,South America,Not member,Not member,-
"Bonaire, Sint Eustatius and Saba",BES,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Not member,Not member,-
Botswana,BWA,Africa,Southern Africa,Not member,Not member,-
Bouvet Island,BVT,Latin America and the Caribbean,South America,Not member,Not member,-
Brazil,BRA,Latin America and the Caribbean,South America,Not member,Member,-
British Indian Ocean Territory,IOT,Africa,Eastern Africa,Not member,Not member,-
British Virgin Islands,VGB,Latin America and the Caribbean,Caribbean,Not member,Not member,-
Brunei Darussalam,BRN,Asia,South-eastern Asia,Not member,Not member,-
