id_speech,extract_id,cluster,indicator_name,code,option,textual_extract,coder_notes,coding_source,model,date_coded
M_34,M_34_gender_equality_position,Gender and women's leadership,gender_equality_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-24
M_34,M_34_women_leadership_position,Gender and women's leadership,women_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-24
M_34,M_34_women_multilateral_leadership_position,Gender and women's leadership,women_multilateral_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-24
M_34,M_34_sg_selection_position,SG election,sg_selection_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-24
M_34,M_34_sg_selection_position_gender,SG election,sg_selection_position_gender,0,No Mention,,,claude,claude-sonnet-5,2026-09-24
M_34,M_34_un_reform_position,UN reform,un_reform_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-24
M_34,M_34_current_multilateralism_position,Multilateralism,current_multilateralism_position,3,Negative / Pushback,"(1) We have been working with the OPCW and we are working with the IAEA with transparency as we believe that collective security is our duty. (2) The strict implementation of our treaties spares our world the horrors of chemical weapons and nuclear weapons. (3) attempts that violate our sovereignty, violate international law, will be stopped. Golan will remain Syrian territories. Any other attempts will be thwarted according to Security Council resolution 497. (4) The world is joyed about our return, but Israel is launching attacks against Syria. There have been 500 airstrikes, more than 1,200 incursions, and 300 detentions. This is at odds with the orientation we're seeing at global level.","Speech does not directly evaluate the multilateral system as such; coded based on invocation of collective security bodies (OPCW/IAEA) alongside claims of violated Security Council resolutions and international law going unenforced, implying the current system fails to protect against violations. Borderline call given the indirect framing.",claude,claude-sonnet-5,2026-09-24
M_34,M_34_future_multilateralism_position,Multilateralism,future_multilateralism_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-24
M_35,M_35_gender_equality_position,Gender and women's leadership,gender_equality_position,1,Positive / Supportive,(1) The most vulnerable must be protected. And this includes conflict-related sexual violence. Others need justice. They don't need silence. These priorities underpin Latvias' bid for a seat on the Human Rights Council at 2028 elections.,,claude,claude-sonnet-5,2026-09-24
M_35,M_35_women_leadership_position,Gender and women's leadership,women_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-24
M_35,M_35_women_multilateral_leadership_position,Gender and women's leadership,women_multilateral_leadership_position,0,No Mention,,,claude,claude-sonnet-5,2026-09-24
M_35,M_35_sg_selection_position,SG election,sg_selection_position,1,Positive / Supportive,"(1) This year we will select the next Secretary General. The choice matters. The next Secretary General must defend the Charter with conviction. He must or she must uphold international law. That is what true leadership means. To speak up for the weak against the powerful, that is what true leadership means.",,claude,claude-sonnet-5,2026-09-24
