# Auto-exportado desde roster UNGA para el monitor de alertas
# nombre | país | cargo
Han Zheng | China
Aren Palik | Micronesia (Federated States of)
John Briceño | Belize
Francisco Avelino Vieira de Carvalho | Cabo Verde
Vasile Tofan | Republic of Moldova
His Eminence Cardinal Pietro Parolin | Holy See
Thongsavanh Phomvihane | Lao People’s Democratic Republic
Sokhonn Prak | Cambodia
Sergey Lavrov | Russian Federation
Ma. Theresa Lazaro | Philippines
Bruno Eduardo Rodríguez Parrilla | Cuba
Prince 'Abdul Mateen | Brunei Darussalam
Prince Faisal bin Farhan Al Saud | Saudi Arabia
Vivian Balakrishnan | Singapore
Thorgerdur Katrín Gunnarsdóttir | Iceland
Valdrack Ludwing Jaentschke Whitaker | Nicaragua
Subrahmanyam Jaishankar | India
Johann Wadephul | Germany
Sirodjiddin Muhriddin | Tajikistan
Luca Beccari | San Marino
Abdoulkader Houssein Omar | Djibouti
Maxim Ryzhenkov | Belarus
Mohamad Haji Hasan | Malaysia
Sayyid Badr bin Hamad bin Hamood Albusaidi | Oman
Mohamed Ali Nafti | Tunisia
Anita Anand | Canada
Marie-Édith Tassyla-Ye-Doumbeneny | Gabon
Kamina Johnson Smith | Jamaica
Ilza Maria dos Santos Amado Vaz | Sao Tome and Principe
Mulambo Hamakuni Haimbe | Zambia
Sugiono | Indonesia
Lejeune Mbella Mbella | Cameroon
